finess_et;finess_ej;siret;nom;adresse;code_postal;ville;departement;statut_juridique;prix_chambre_simple_jour;cotation_has;nb_red_flags;alerte_gouvernance;contentieux_judiciaire;source_finess;source_cnsa;source_has;source_alimconfiance;url_fiche_seniorvigil
910005248;910700525;44793864800022;EHPAD  CHATEAU DRANEM;17 AV DE RIGNY;91130;RIS ORANGIS;91;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-chateau-dranem-91/
910001981;910813815;38242612000020;EHPAD  COLOMBIER DE CORBREUSE;46 R DES MONTCEAUX;91410;CORBREUSE;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-colombier-de-corbreuse-91/
620110650;910013978;77562993401063;EHPAD  DU BREUIL;7 R DE VILLEMOISSON;91360;EPINAY SUR ORGE;91;Non renseigné;82.07;;0;Non;Non;Oui;Oui;Non;Non;https://seniorvigil.com/ehpad/ehpad-du-breuil-91/
910005768;910701804;97020267700013;EHPAD  LA ROSERAIE;8 R POLONCEAU;91170;VIRY CHATILLON;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-la-roseraie-91/
910001940;910813138;35217878400018;EHPAD  LE VILLAGE;RTE DE MACHERY;91470;ANGERVILLIERS;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-le-village-91/
910017326;910017334;43216527200027;EHPAD  LES JARDINS DU PLESSIS;9 R DU PLESSIS;91700;STE GENEVIEVE DES BOIS;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-les-jardins-du-plessis-91/
920039773;910805621;34918573600171;EHPAD  RESIDENCE LA GENTILHOMMIERE;11 R DU GORD;91800;BOUSSY ST ANTOINE;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-gentilhommiere-91/
910013168;910013218;45064604700024;EHPAD  RESIDENCE MEDICIS;35 BD DECAUVILLE;91000;EVRY COURCOURONNES;91;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-medicis-91/
920030186;910811116;81779709500590;EHPAD  RESIDENCE TOURNEBRIDE;10 R DU GENERAL DE GAULLE;91660;LE MEREVILLOIS;91;Non renseigné;70.52;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-tournebride-91/
910001742;910806355;38886980200016;EHPAD  SAINT JEAN BAPTISTE DE LA SALLE;1 R P VAILLANT COUTURIER;91200;ATHIS MONS;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-saint-jean-baptiste-de-la-salle-91/
950007468;950802488;;EHPAD  VAL NOTRE DAME;26 AV D ARGENTEUIL;95100;ARGENTEUIL;95;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-val-notre-dame-95/
780001152;780823100;34743830100017;"EHPAD ""LA FORET DE L'HAUTIL""";34 R DE L HAUTIL;78570;ANDRESY;78;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-la-foret-de-l-hautil-78/
940004088;940011489;;"EHPAD ""LA MAISON DES SORIERES""";6 R DE LA GRANGE;94150;RUNGIS;94;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-la-maison-des-sorieres-94/
